Tên sản phẩm,Giá,Link
Honor Magic V3 5G 12GB 512GB,37.990.000 ₫,https://fptshop.com.vn/dien-thoai/honor-magic-v3
Xiaomi 14T Pro 5G 12GB 1TB,16.990.000 ₫,https://fptshop.com.vn/dien-thoai/xiaomi-14t-pro-12gb-1tb
Honor 200 5G 12GB 256GB,11.490.000 ₫,https://fptshop.com.vn/dien-thoai/honor-200-5g
Honor X9c 5G 12GB 256GB,9.490.000 ₫,https://fptshop.com.vn/dien-thoai/honor-x9c
Samsung Galaxy M55 5G 256GB,8.990.000 ₫,https://fptshop.com.vn/dien-thoai/samsung-galaxy-m55
Honor X7c 8GB 256GB,4.990.000 ₫,https://fptshop.com.vn/dien-thoai/honor-x7c
Xiaomi Poco M6 Pro 8GB 256GB,5.690.000 ₫,https://fptshop.com.vn/dien-thoai/xiaomi-poco-m6-pro-8gb
Honor X7b 8GB 256GB,3.990.000 ₫,https://fptshop.com.vn/dien-thoai/honor-x7b
Xiaomi POCO X6 5G 12GB-256GB,7.790.000 ₫,https://fptshop.com.vn/dien-thoai/poco-x6-5g-12gb-256gb
Samsung Galaxy S23 5G 256GB,14.990.000 ₫,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23
Inoi A34 12GB (3+9GB) 128GB,1.990.000 ₫,https://fptshop.com.vn/dien-thoai/inoi-a34
Samsung Galaxy S22 5G 128GB,11.990.000 ₫,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s22-5g
Honor 90 5G 12GB 256GB,8.990.000 ₫,https://fptshop.com.vn/dien-thoai/honor-90-5g
iPhone 16 Pro Max 256GB,32.890.000 ₫,https://fptshop.com.vn/dien-thoai/iphone-16-pro-max
iPhone 16 128GB,21.390.000 ₫,https://fptshop.com.vn/dien-thoai/iphone-16
iPhone 16 Plus 128GB,24.790.000 ₫,https://fptshop.com.vn/dien-thoai/iphone-16-plus
iPhone 16 Pro 128GB,27.490.000 ₫,https://fptshop.com.vn/dien-thoai/iphone-16-pro
Samsung Galaxy S24 FE 5G 128GB,14.990.000 ₫,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s24-fe
Samsung Galaxy Z Fold6 5G 256GB,36.490.000 ₫,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold6
Honor X5b 4GB 64GB,2.190.000 ₫,https://fptshop.com.vn/dien-thoai/honor-x5b
OPPO Reno13 F 8GB 256GB,8.990.000 ₫,https://fptshop.com.vn/dien-thoai/oppo-reno13-f
Xiaomi Redmi Note 14 6GB 128GB,4.990.000 ₫,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-note-14
Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB,10.990.000 ₫,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-note-14-pro-plus
Masstel Izi 16 4G,450.000 ₫,https://fptshop.com.vn/dien-thoai/masstel-izi-16-4g
Samsung Galaxy A06 4GB 128GB,3.190.000 ₫,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a06-4g
Inoi 240 Modern 4G,390.000 ₫,https://fptshop.com.vn/dien-thoai/inoi-240-modern-4g
Samsung Galaxy A15 128GB,4.490.000 ₫,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a15
iPhone 15 Pro Max 256GB,29.090.000 ₫,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max
Masstel Izi 15 4G,390.000 ₫,https://fptshop.com.vn/dien-thoai/masstel-izi-15
