Tên bài hát,Nghệ sĩ,Link
Rê NDM,Wtran,https://www.nhaccuatui.com/bai-hat/re-ndm-wtran-ft-ca-nau.9gvVeiELZlKq.html
Yêu Đi,Châu Khải Phong,https://www.nhaccuatui.com/bai-hat/yeu-di-chau-khai-phong.W3puBHmNLaTH.html
Điềm Xui,Daduc,https://www.nhaccuatui.com/bai-hat/diem-xui-daduc.9IQuJunOhc8Y.html
"Mashup We Don't Talk Anymore, Để Em Rời Xa (Biển Của Hy Vọng)",Đức Phúc,https://www.nhaccuatui.com/bai-hat/mashup-we-dont-talk-anymore-de-em-roi-xa-bien-cua-hy-vong-duc-phuc.WEMx8xJZYY4g.html
Giữ Em Thật Lâu,Naod,https://www.nhaccuatui.com/bai-hat/giu-em-that-lau-naod.TPDciU83yMeU.html
Có Được Không Em Cover,Xuân Sâm,https://www.nhaccuatui.com/bai-hat/co-duoc-khong-em-cover-xuan-sam.8a0ecQkoye1M.html
Đừng Bắt Em Phải Quên,Miu Lê,https://www.nhaccuatui.com/bai-hat/dung-bat-em-phai-quen-miu-le.y0LT3f6ISOp4.html
Thất Tình,Đức Phúc,https://www.nhaccuatui.com/bai-hat/that-tinh-duc-phuc.QMIetehMFU6R.html
Gió (Lofi),Jank,https://www.nhaccuatui.com/bai-hat/gio-lofi-jank-ft-1-9-6-7.cJXTzZkellSD.html
Lý Do Là Gì,Thái Học,https://www.nhaccuatui.com/bai-hat/ly-do-la-gi-thai-hoc.K6EwXuEHF8Ig.html
Bụi Bay Vào Mắt,Đông Nhi,https://www.nhaccuatui.com/bai-hat/bui-bay-vao-mat-dong-nhi.lypfICkUx49s.html
Anh Hứa Anh Không Khóc,Khánh Trung,https://www.nhaccuatui.com/bai-hat/anh-hua-anh-khong-khoc-khanh-trung-ft-pham-sac-lenh.VXkRUqbWVlQB.html
Ơ Vậy Là Yêu Chưa,MPacific,https://www.nhaccuatui.com/bai-hat/o-vay-la-yeu-chua-mpacific-ft-ned-d.d4wkRVw0a2gd.html
Tàn Nhẫn (Lofi),Lương Minh Trang,https://www.nhaccuatui.com/bai-hat/tan-nhan-lofi-luong-minh-trang.A05cstf5bb1S.html
Bỗng Dưng Muốn Khóc,Phương Vy,https://www.nhaccuatui.com/bai-hat/bong-dung-muon-khoc-phuong-vy.9u7sytO2ucvU.html
Bức Tranh Phai Màu,Tăng Quỳnh My,https://www.nhaccuatui.com/bai-hat/buc-tranh-phai-mau-tang-quynh-my.qnQKIDDSpV80.html
Tìm (Biển Của Hy Vọng),Phan Mạnh Quỳnh,https://www.nhaccuatui.com/bai-hat/tim-bien-cua-hy-vong-phan-manh-quynh.7TBMijpzKWEI.html
Ừ Thì Thôi,T-PAME,https://www.nhaccuatui.com/bai-hat/u-thi-thoi-t-pame.cneJqv1x2pDu.html
Em Thật Là Ngốc Cover,Xuân Sâm,https://www.nhaccuatui.com/bai-hat/em-that-la-ngoc-cover-xuan-sam.mX5jAdWh5UtS.html
Only,Đức Phúc,https://www.nhaccuatui.com/bai-hat/only-duc-phuc.GRDDU8arkOIE.html
Không Yêu Xin Đừng Nói (Speed Up),UMIE,https://www.nhaccuatui.com/bai-hat/khong-yeu-xin-dung-noi-speed-up-umie.MMAlxLZcTM4s.html
Giữ Em Đi,Đông Nhi,https://www.nhaccuatui.com/bai-hat/giu-em-di-dong-nhi-ft-hoa-minzy.PhhD5Jr8VXed.html
Em Sẽ Quên,Hòa Minzy,https://www.nhaccuatui.com/bai-hat/em-se-quen-hoa-minzy.X7T0e5YvM78C.html
Còn Em Anh Bỏ Cho Ai,LyLy Trần,https://www.nhaccuatui.com/bai-hat/con-em-anh-bo-cho-ai-lyly-tran.3w3OJImbjUr8.html
Càng Hy Vọng Càng Thất Vọng,Phan Yến Nhi,https://www.nhaccuatui.com/bai-hat/cang-hy-vong-cang-that-vong-phan-yen-nhi.vsKLHCPUesMg.html
Câu Chuyện Tình Yêu,Nhữ Thuỳ Dương,https://www.nhaccuatui.com/bai-hat/cau-chuyen-tinh-yeu-nhu-thuy-duong.juyGG3ymx0pv.html
BLAME ON ME,FRANCO,https://www.nhaccuatui.com/bai-hat/blame-on-me-franco.qWvs38i167AG.html
Phận Tiên,Ice T,https://www.nhaccuatui.com/bai-hat/phan-tien-ice-t.vFAIFE6qwGJR.html
Cô Gái Quê,Diệu Kiên,https://www.nhaccuatui.com/bai-hat/co-gai-que-dieu-kien-ft-yuni-boo.pk8UFssCQQXq.html
Hôn Thật Lâu,Pháp Kiều,https://www.nhaccuatui.com/bai-hat/hon-that-lau-phap-kieu.81IDyjfvK9d5.html
Cold Don't,Nmọc,https://www.nhaccuatui.com/bai-hat/cold-dont-nmoc-ft-dmean-ft-astac.e5xx48dVPV92.html
Chơi Vơi,Táo,https://www.nhaccuatui.com/bai-hat/choi-voi-tao-ft-orange.Ghwf5iKuEnFm.html
Anh Yêu Em Nhiều Lắm,Đức Phúc,https://www.nhaccuatui.com/bai-hat/anh-yeu-em-nhieu-lam-duc-phuc.l86YAtt0aSZd.html
Cảm Ơn Mẹ,Trần Duy Hưng,https://www.nhaccuatui.com/bai-hat/cam-on-me-tran-duy-hung-ft-chau-khai-phong.JyBBFeIrczy7.html
Mưa Tháng Tư (Lofi Version),VIET.,https://www.nhaccuatui.com/bai-hat/mua-thang-tu-lofi-version-viet.4hzODCxtTxiG.html
Giữa Cả Tỷ Người (Freak D Lofi Version),Luke D,https://www.nhaccuatui.com/bai-hat/giua-ca-ty-nguoi-freak-d-lofi-version-luke-d-ft-tuan-cry.wyO6lWgjA1fz.html
Nhánh Hoa Hồng Dại,H-Kray,https://www.nhaccuatui.com/bai-hat/nhanh-hoa-hong-dai-h-kray.ZdbOfGIPibxe.html
Em La Ai ?,NP.2,https://www.nhaccuatui.com/bai-hat/em-la-ai-np2.rQ4QkF7hcjAf.html
Dương Tính Với Thính,Tân Trần,https://www.nhaccuatui.com/bai-hat/duong-tinh-voi-thinh-tan-tran.MJUIsLm8Jcim.html
Nuôi Ong Tay Áo,Ngọc Kara,https://www.nhaccuatui.com/bai-hat/nuoi-ong-tay-ao-ngoc-kara-ft-jombie.ELBhYfzzvIGx.html
